vendor_id,order_hour,day_of_week,item_count,is_peak_hour,historical_delay_avg,prep_time_minutes
152,20,0,8,1,1.47,31.06
112,8,2,9,0,2.4,27.3
169,10,3,1,0,0.0,9.72
136,20,0,1,1,1.8,24.79
22,11,5,6,0,1.33,21.51
21,14,3,1,0,3.47,9.65
35,19,0,5,1,10.44,31.64
93,13,4,3,1,3.34,17.02
67,9,0,10,0,0.63,27.6
24,10,6,6,0,0.06,19.09
17,20,0,11,1,1.54,37.4
26,19,0,8,1,4.63,32.27
173,10,5,3,0,1.0,12.1
191,5,0,10,0,0.0,27.07
86,11,1,6,0,1.53,14.23
8,19,3,5,1,7.24,24.39
94,15,6,8,0,0.44,25.77
63,13,1,7,1,4.56,24.38
127,18,4,1,1,4.78,15.19
126,8,0,8,0,1.85,25.43
192,16,5,7,0,6.92,26.16
86,1,5,5,0,0.9,18.32
197,14,1,10,0,0.64,23.37
101,13,1,6,1,0.0,22.69
147,14,0,8,0,1.84,25.07
2,4,2,4,0,7.13,24.03
161,19,2,5,1,2.52,24.71
43,10,4,2,0,0.21,10.46
90,12,1,10,1,1.3,30.63
75,20,3,9,1,3.05,31.68
152,19,0,3,1,0.0,14.84
152,20,4,1,1,1.96,16.7
30,21,5,4,1,0.0,26.13
177,6,4,9,0,3.11,29.33
128,14,1,5,0,6.11,18.86
53,19,0,7,1,8.41,26.02
122,13,6,11,1,7.68,42.63
7,13,1,9,1,0.74,29.66
165,11,4,1,0,0.0,11.18
45,19,5,3,1,1.21,24.87
90,12,5,3,1,1.35,16.65
148,8,4,9,0,2.94,29.66
191,14,0,8,0,0.0,25.83
173,22,4,5,0,1.98,19.24
185,15,0,1,0,0.46,15.7
118,13,6,9,1,0.48,27.66
117,11,3,4,0,2.76,15.55
101,22,2,6,0,1.83,15.6
141,21,4,6,1,8.53,36.0
109,9,0,6,0,1.08,16.26
86,20,0,1,1,0.0,10.19
55,20,0,5,1,4.25,26.69
83,11,5,9,0,0.0,28.31
32,6,6,8,0,0.56,24.01
3,15,3,1,0,6.01,19.27
57,16,6,7,0,0.93,27.85
179,21,3,2,1,9.34,16.43
91,8,1,4,0,0.0,21.08
30,17,2,1,0,0.13,12.28
69,23,4,2,0,1.35,8.22
115,15,6,7,0,1.25,28.47
